id,rank,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount,cast,cast_link,nepos,pct_nepo
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Bryan Cranston,/wiki/Bryan_Cranston,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Anna Gunn,/wiki/Anna_Gunn,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Aaron Paul,/wiki/Aaron_Paul,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Dean Norris,/wiki/Dean_Norris,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Betsy Brandt,/wiki/Betsy_Brandt,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,RJ Mitte,/wiki/RJ_Mitte,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Giancarlo Esposito,/wiki/Giancarlo_Esposito,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Bob Odenkirk,/wiki/Bob_Odenkirk,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Jonathan Banks,/wiki/Jonathan_Banks,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Laura Fraser,/wiki/Laura_Fraser,False,
tt0903747,2,Breaking Bad,Breaking Bad (2008),2008,https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_Ratio0.6716_AL_.jpg,"Bryan Cranston, Aaron Paul",9.4,1881887,Jesse Plemons,/wiki/Jesse_Plemons,False,
tt0185906,4,Band of Brothers,Band of Brothers (2001),2001,https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_Ratio0.6716_AL_.jpg,"Scott Grimes, Damian Lewis",9.4,469182,Kirk Acevedo,/wiki/Kirk_Acevedo,False,0.043478260869565216
tt0185906,4,Band of Brothers,Band of Brothers (2001),2001,https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_Ratio0.6716_AL_.jpg,"Scott Grimes, Damian Lewis",9.4,469182,Eion Bailey,/wiki/Eion_Bailey,False,0.043478260869565216
tt0185906,4,Band of Brothers,Band of Brothers (2001),2001,https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_Ratio0.6716_AL_.jpg,"Scott Grimes, Damian Lewis",9.4,469182,Michael Cudlitz,/wiki/Michael_Cudlitz,False,0.043478260869565216
